Ticker,Horizon,Mode,n,winshare_origin,dbar,kstar_dropk
XLP,10d,unfiltered,127,0.685,0.0031355814273436164,
XLP,15d,filtered,62,0.79,0.007616648415257347,
XLP,15d,unfiltered,127,0.693,0.0018456578498064842,
XLP,1m,filtered,62,0.694,0.006592071400759415,
XLP,1m,unfiltered,127,0.606,-0.0018480066534484485,1.0
XLP,2m,filtered,62,0.742,0.014880686915489813,
XLP,2m,unfiltered,127,0.646,-0.024130683933792148,2.0
XLP,3m,filtered,62,0.71,0.01699439687566866,
XLP,3m,unfiltered,127,0.638,-0.027186103171685603,2.0
XLP,4m,filtered,62,0.71,0.01681248576537575,
XLP,4m,unfiltered,127,0.598,-0.029496818172936298,2.0
XLP,5m,filtered,62,0.806,0.023009062538870275,
XLP,5m,unfiltered,127,0.63,-0.02998938631691871,2.0
XLP,6m,filtered,62,0.79,0.024933453123149284,
XLP,6m,unfiltered,127,0.614,-0.03027513129261527,2.0
XLP,7m,filtered,62,0.758,0.02195563345474326,
XLP,7m,unfiltered,127,0.614,-0.031624592452689136,2.0
XLP,8m,filtered,62,0.758,0.020547293126814685,
XLP,8m,unfiltered,127,0.598,-0.025511714045975444,3.0
XLU,1d,filtered,76,0.539,-0.005075565102519573,
XLU,1d,unfiltered,127,0.598,0.004025341215891327,
XLU,5d,filtered,76,0.658,0.0015995352278032411,
XLU,5d,unfiltered,127,0.677,0.005082584812862759,
XLU,10d,filtered,76,0.697,0.0017544579875876712,
XLU,10d,unfiltered,127,0.677,0.0010141931212942603,
XLU,15d,filtered,76,0.632,0.0022168302437909405,
XLU,15d,unfiltered,127,0.622,-0.005376408602176481,2.0
XLU,1m,filtered,76,0.697,0.0034232844683727004,
XLU,1m,unfiltered,127,0.622,-0.015415477927797473,2.0
XLU,2m,filtered,76,0.684,0.010255482273857787,
XLU,2m,unfiltered,127,0.591,-0.09597732024930389,3.0
XLU,3m,filtered,76,0.75,0.010464949782640308,
XLU,3m,unfiltered,127,0.661,-0.04701262952796891,3.0
XLU,4m,filtered,76,0.711,0.011704643822677838,
XLU,4m,unfiltered,127,0.614,-0.03738601552028897,3.0
XLU,5m,filtered,76,0.789,0.013689511651604458,
XLU,5m,unfiltered,127,0.63,-0.04042991870174721,3.0
XLU,6m,filtered,76,0.75,0.014934936349494143,
XLU,6m,unfiltered,127,0.606,-0.04047453562458488,3.0
XLU,7m,filtered,76,0.75,0.016013151038613747,
XLU,7m,unfiltered,127,0.606,-0.04307451374768609,4.0
XLU,8m,filtered,76,0.711,0.017704118251534277,
XLU,8m,unfiltered,127,0.567,-0.043588411975913774,4.0
XLV,1d,filtered,69,0.536,-0.004717909101939418,
XLV,1d,unfiltered,127,0.543,-0.006606491492190323,2.0
XLV,5d,filtered,69,0.551,-0.004121964566318165,
XLV,5d,unfiltered,127,0.496,-0.0024174648251596145,2.0
XLV,10d,filtered,69,0.58,-0.0005091186087908527,
XLV,10d,unfiltered,127,0.559,0.002400416114111143,
XLV,15d,filtered,69,0.58,-0.0032736590207385514,
XLV,15d,unfiltered,127,0.583,0.0008177156731151722,
XLV,1m,filtered,69,0.594,-0.0007437150900177532,
XLV,1m,unfiltered,127,0.575,-0.003387963580006289,1.0
XLV,2m,filtered,69,0.594,0.00038089817537957063,
XLV,2m,unfiltered,127,0.567,-0.030638562596783506,3.0
XLV,3m,filtered,69,0.739,0.009441654784514027,
XLV,3m,unfiltered,127,0.63,-0.0311226680433082,3.0
XLV,4m,filtered,69,0.783,0.012235910103895816,
XLV,4m,unfiltered,127,0.661,-0.027186257224779627,3.0
XLV,5m,filtered,69,0.826,0.013353054416247,
XLV,5m,unfiltered,127,0.661,-0.017682844813137685,2.0
XLV,6m,filtered,69,0.87,0.016061749640315825,
XLV,6m,unfiltered,127,0.677,-0.008195218143225597,2.0
XLV,7m,filtered,69,0.855,0.016588381393717266,
XLV,7m,unfiltered,127,0.661,-0.010989481844787138,1.0
XLV,8m,filtered,69,0.855,0.014981717638736576,
XLV,8m,unfiltered,127,0.646,-0.006009087381117382,1.0
XLY,1d,filtered,78,0.641,-0.0072827068974558465,
XLY,1d,unfiltered,126,0.651,0.004014841176801335,
XLY,5d,filtered,78,0.641,-0.0005996021618138483,
XLY,5d,unfiltered,126,0.627,0.004169677787757372,
XLY,10d,filtered,78,0.615,0.0021748270526754884,
XLY,10d,unfiltered,126,0.603,0.003634865447100277,
XLY,15d,filtered,78,0.679,0.004521125228679523,
XLY,15d,unfiltered,126,0.635,0.00339323997310755,
XLY,1m,filtered,78,0.679,0.00442539498485025,
XLY,1m,unfiltered,126,0.627,-0.0001774022613204285,1.0
XLY,2m,filtered,78,0.756,0.012555081380307812,
XLY,2m,unfiltered,126,0.675,-0.021021751826372274,2.0
XLY,3m,filtered,78,0.744,0.0187730667813456,
XLY,3m,unfiltered,126,0.659,-0.04762674127775833,3.0
XLY,4m,filtered,78,0.769,0.01980194991424607,
XLY,4m,unfiltered,126,0.651,-0.05277344864952082,4.0
XLY,5m,filtered,78,0.731,0.023081935492320287,
XLY,5m,unfiltered,126,0.595,-0.05301865629800757,4.0
XLY,6m,filtered,78,0.769,0.023768387971626757,
XLY,6m,unfiltered,126,0.603,-0.06321463122527717,6.0
XLY,7m,filtered,78,0.756,0.019648936233495035,
XLY,7m,unfiltered,126,0.611,-0.06281761836779871,6.0
XLY,8m,filtered,78,0.718,0.012748532157882199,
XLY,8m,unfiltered,126,0.587,-0.05737053144545397,7.0
XOM,1d,filtered,73,0.548,-0.0025120672975101187,
XOM,1d,unfiltered,127,0.535,-0.004144345814131203,2.0
XOM,5d,filtered,73,0.562,-0.00305115099557235,
XOM,5d,unfiltered,127,0.551,-0.002062506919111406,2.0
XOM,10d,filtered,73,0.425,2.6036619498808625e-05,
XOM,10d,unfiltered,127,0.472,-0.0006219873398633147,1.0
XOM,15d,filtered,73,0.466,9.168793677882966e-05,
XOM,15d,unfiltered,127,0.488,-0.0017379379793817,2.0
XOM,1m,filtered,73,0.507,0.0003664353133085631,
XOM,1m,unfiltered,127,0.512,-0.0014280891461748205,1.0
XOM,2m,filtered,73,0.603,0.005353165471572476,
XOM,2m,unfiltered,127,0.52,-0.01035079691406076,2.0
XOM,3m,filtered,73,0.685,0.02050519801604304,
XOM,3m,unfiltered,127,0.575,-0.00896778963208312,1.0
XOM,4m,filtered,73,0.753,0.023521790263453485,
XOM,4m,unfiltered,127,0.551,-0.018248303628510338,3.0
XOM,5m,filtered,73,0.753,0.022696885032952568,
XOM,5m,unfiltered,127,0.591,-0.018577054846705108,3.0
XOM,6m,filtered,73,0.726,0.025572653444381796,
XOM,6m,unfiltered,127,0.591,-0.013359857731673289,1.0
