Ticker,Horizon,Mode,n,relQLIKE_MF2,relQLIKE_MF2V,relRMSE_MF2,relRMSE_MF2V,dbar_QL,dbar_SE,J_HAC,DM_iid_QL,DM_HAC_QL,DM_HLN_QL,p_HLN_QL,p_boot_QL,DM_iid_SE,DM_HAC_SE,DM_HLN_SE,p_HLN_SE,p_boot_SE
XLE,8m,filtered,83,0.985223759732067,0.980315944502689,0.930489201540334,0.83699651720101,0.0239452042516022,356.191388316703,7,2.22944455487756,1.35078127365278,1.22869578004128,0.111350255306545,0.1695,4.7173210125637,2.62761016917351,2.39012310092696,0.00956770117239947,0.0132
XLE,1d,unfiltered,127,0.489669315715722,0.487725918006146,0.979534699546605,0.979269267448734,0.00772357738208827,1.05546262875549,4,1.33605513105969,1.29338477188496,1.28828264244301,0.100004152016134,0.0527,1.41529389283935,1.14004547715932,1.13554823881183,0.129150532211298,0.0683
XLE,5d,unfiltered,127,0.816177443533772,0.815188735044954,0.950569536153389,0.949300139599331,0.00433699949329483,13.7750824413282,4,1.27523771953242,1.28207236218534,1.27701485780767,0.101972653209463,0.0706,1.66345318672567,1.20052846906961,1.19579263810802,0.117011525861943,0.0635
XLE,10d,unfiltered,127,0.855944618298219,0.855173986971126,0.92247856022154,0.921172085173844,0.00378637598023238,35.4973446873869,4,1.52809144065672,1.63066383459271,1.62423121056524,0.0534127616775431,0.0289,1.83394566055783,1.35713738199963,1.35178376199111,0.0894330926766258,0.0336
XLE,15d,unfiltered,127,0.884206046571023,0.883474907709385,0.925866736717003,0.92396211109503,0.00382765865685486,85.6766768611983,4,1.55017743751657,1.56096958062582,1.55481188569356,0.0612495573900174,0.0414,1.62175597142631,1.47452397289708,1.46870728760859,0.072202194838056,0.0184
XLE,1m,unfiltered,127,0.915086540463709,0.914792772977466,0.911947282419087,0.909228548271923,0.00161525853873823,146.357143898917,4,0.490959276241096,0.536363307001889,0.534247467168512,0.297055855873116,0.3113,1.44435401714087,1.64199896180113,1.6355216230936,0.0522177361344551,0.0064
XLE,2m,unfiltered,127,0.969305894346501,0.97138947620834,0.984099824985543,0.982049148702612,-0.0115027795889934,119.790445319508,4,-0.980213846280674,-0.89500914928723,-0.884431155816017,0.810925959565312,0.8782,1.16595896649421,1.30207677900817,1.2866877076469,0.100281071281847,0.0431
XLE,3m,unfiltered,127,1.00724281121181,1.01121481767986,0.993152676991144,0.991827317340783,-0.0219890235467288,78.3161863198634,4,-1.15585575891187,-0.9836572443233,-0.964286136272391,0.83162522235864,0.8908,0.871678995032681,0.67068332947322,0.657475599526487,0.256037217520761,0.295
XLE,4m,unfiltered,127,0.990288277568013,0.994035774792203,0.993441488695889,0.991039431005148,-0.0207976427409794,142.306167461164,4,-0.989329690747501,-0.793360316337612,-0.771489732819944,0.779069424029289,0.8358,1.62174618369347,1.20873234630294,1.17541119173302,0.121023277828206,0.156
XLE,5m,unfiltered,127,0.98495795896786,0.98795029108736,0.99164299616157,0.989091799989604,-0.0166275467175397,151.003296512404,4,-0.919984295200087,-0.683699498832208,-0.659468432688897,0.744600727245621,0.7844,1.84259639148171,1.27706023381722,1.23179980720075,0.110158898148169,0.1409
XLE,6m,unfiltered,127,0.989556086552288,0.992758565701239,0.993880700217521,0.991412610399869,-0.0178131429220364,146.406531647401,5,-0.953394390225584,-0.698136603310066,-0.667896685445652,0.747289452327968,0.7886,1.91343775659087,1.18466960388238,1.13335541787922,0.129608461150143,0.156
XLE,7m,unfiltered,127,0.993335703497576,0.996528780228925,0.996024061869892,0.993678490283724,-0.0177909950179702,139.50908634007,6,-0.91184452799471,-0.665246327242419,-0.631192853072362,0.735471105063863,0.7756,1.83255420340269,1.06065490140078,1.00636075078455,0.158085394927966,0.1718
XLE,8m,unfiltered,127,0.993711850627245,0.996931120461875,0.996043712778108,0.99386114165772,-0.0179578727035597,130.05136167299,7,-0.880758296415522,-0.636186265510434,-0.59861097054157,0.724746515534055,0.7587,1.65201564995305,0.928017480013088,0.873205654549085,0.192106053249248,0.1992
XLF,1d,filtered,73,0.829720477098762,0.835934931504302,0.903107645342914,0.903044081150433,-0.010805925477998,0.00231304867559389,3,-1.33362298875851,-1.52548688224515,-1.51500231207811,0.93292509073492,0.9811,0.0588927689486343,0.0661469838020451,0.0656923599694296,0.473902409897285,0.4715
XLF,5d,filtered,73,0.878106508122855,0.878326481944966,0.639841307840596,0.635340267167781,-0.000687658028544038,1.26854022362971,3,-0.239152114027728,-0.289272424828373,-0.287284274637897,0.612640065509977,0.6401,1.70604005994695,1.90024882970499,1.88718854552833,0.0315830820717423,0.0057
XLF,10d,filtered,73,0.914489918437587,0.91381201953639,0.54539201945378,0.537849870796369,0.00260426111396678,6.56937659007726,3,1.1891813646011,1.26150775601599,1.25283749687567,0.107159290199709,0.1183,2.16391465899329,2.23705707971097,2.2216819347701,0.0147243841471963,0.0015
XLF,15d,filtered,73,0.928397236525154,0.928035539549609,0.516108217657202,0.505971594507063,0.00152865839951721,17.59838728864,3,0.491202866426437,0.55629756764927,0.552474171362052,0.291167311401577,0.2974,2.35320194388331,2.48819672442113,2.47109551335846,0.00791860332311034,0.0002
XLF,1m,filtered,73,0.935867038100613,0.935381384861631,0.490843826229905,0.477614395788834,0.00221858443632396,42.1207609039509,3,0.584614216320286,0.650178696575859,0.645710061515992,0.260259884883671,0.2934,2.66309247474445,2.81516248875047,2.79581406367487,0.00331645914418355,0.0001
XLF,2m,filtered,73,0.9277754175572,0.924444611103319,0.421484896142658,0.390868229957698,0.0152077901457965,84.8573476450161,3,2.90527291030749,2.50503127152985,2.45349803336359,0.0082844356461973,0.0142,3.47500184718305,2.92623641512936,2.86603818933255,0.00272289464556352,0.0002
XLF,3m,filtered,73,0.940457237800418,0.936196281367658,0.451774442089406,0.407415999874296,0.0195066737634782,126.357807212564,3,2.30329348177243,2.03950623324201,1.96961059249705,0.0263653788231355,0.0544,3.9681849761341,2.86534960358236,2.76715159700782,0.00359119885163317,0.0003
XLF,4m,filtered,73,0.942980588196604,0.93774569697614,0.465060069731902,0.414568030456169,0.0240207096839878,144.809182915363,3,2.39956216217851,1.96427200173408,1.87004618097935,0.0327713870111213,0.0684,3.88006988786624,2.59849924965566,2.47384964699716,0.00786267931072082,0.0023
XLF,5m,filtered,73,0.946574320825384,0.941564949617013,0.465223768531814,0.412263943241766,0.0229086043305252,144.637812795424,4,2.14767863898783,1.49648543147452,1.40419892064107,0.0822793360035661,0.1498,4.00029753490319,2.25415152980224,2.11514063454057,0.0189395363499145,0.0085
XLF,6m,filtered,73,0.949812118034186,0.944344041626524,0.47928440024471,0.420586230209983,0.0249849371022449,166.646007926002,5,2.07867490014591,1.42531499032815,1.31789208683203,0.0958588045681348,0.1647,4.15001886856304,2.38266832433543,2.20309177374473,0.015394475675178,0.0057
XLF,7m,filtered,73,0.948343213808301,0.943156953803587,0.468129020959452,0.411472609736626,0.0237768079041361,156.139144764562,6,1.89177205313648,1.20703440156579,1.099527654937,0.137600434225291,0.2063,3.88640708460143,2.14398035749884,1.95302279011574,0.0273519721504661,0.011
XLF,8m,filtered,73,0.950285841075323,0.945400535975385,0.470627553875351,0.413586610919724,0.0224878598680304,156.570762410828,7,1.70806910162778,1.04569599573933,0.938234138202856,0.175630436597689,0.2389,3.88450991827283,2.13265421980224,1.91349015598566,0.0298306578402563,0.0119
XLF,1d,unfiltered,127,0.69035871680821,0.694449930145042,0.917342640175987,0.9180775392179,-0.00933928346367778,-0.197767327821075,4,-1.80129938376273,-2.08226172125944,-2.07404763905836,0.979944324100486,0.9988,-0.414719349298821,-0.712693305240787,-0.709881880848917,0.76045545848493,0.8798
XLF,5d,unfiltered,127,0.796109376085458,0.797015314567812,0.860361416367048,0.862782045920063,-0.00344757884879795,-8.54676210550408,4,-1.31242384359833,-1.4992671283202,-1.49335283651545,0.931077618011929,0.9607,-0.752675632207005,-0.919790602110887,-0.916162222673096,0.819334021391266,0.9244
